A_GMI15-002-D- 0.000000 0.000000 0.000000 2582.000000 2582.000000 2582.000000 2619.000000 2619.000000 2619.000000 2746.000000 2746.000000 2746.000000
B_GMI15-002-D- 0.000000 0.000000 0.000000 2582.000000 2582.000000 2582.000000 2619.000000 2619.000000 2619.000000 2746.000000 2746.000000 2746.000000
C_GMI15-002-D- 0.000000 0.000000 0.000000 2582.000000 2582.000000 2582.000000 2619.000000 2619.000000 2619.000000 2746.000000 2746.000000 2746.000000
A_GMI15-001-D- 2582.000000 2582.000000 2582.000000 0.000000 0.000000 0.000000 2576.000000 2576.000000 2576.000000 2707.000000 2707.000000 2707.000000
B_GMI15-001-D- 2582.000000 2582.000000 2582.000000 0.000000 0.000000 0.000000 2576.000000 2576.000000 2576.000000 2707.000000 2707.000000 2707.000000
C_GMI15-001-D- 2582.000000 2582.000000 2582.000000 0.000000 0.000000 0.000000 2576.000000 2576.000000 2576.000000 2707.000000 2707.000000 2707.000000
A_GMI-17-001-D- 2619.000000 2619.000000 2619.000000 2576.000000 2576.000000 2576.000000 0.000000 0.000000 0.000000 2711.000000 2711.000000 2711.000000
B_GMI-17-001-D- 2619.000000 2619.000000 2619.000000 2576.000000 2576.000000 2576.000000 0.000000 0.000000 0.000000 2711.000000 2711.000000 2711.000000
C_GMI-17-001-D- 2619.000000 2619.000000 2619.000000 2576.000000 2576.000000 2576.000000 0.000000 0.000000 0.000000 2711.000000 2711.000000 2711.000000
A_GMI-17-002-D- 2746.000000 2746.000000 2746.000000 2707.000000 2707.000000 2707.000000 2711.000000 2711.000000 2711.000000 0.000000 0.000000 0.000000
B_GMI-17-002-D- 2746.000000 2746.000000 2746.000000 2707.000000 2707.000000 2707.000000 2711.000000 2711.000000 2711.000000 0.000000 0.000000 0.000000
C_GMI-17-002-D- 2746.000000 2746.000000 2746.000000 2707.000000 2707.000000 2707.000000 2711.000000 2711.000000 2711.000000 0.000000 0.000000 0.000000
